Sample,Feature,Feature_Value,SHAP_Value,Influence,Prediction,Actual_RUL
0,Sensor_2,-0.44872066723896437,1.9708921432495217,increases predicted RUL,125.0,112.0
0,Sensor_3,-0.49302447884258216,0.0642637252807603,increases predicted RUL,125.0,112.0
0,Sensor_4,-0.5102830386758652,1.7793891906738395,increases predicted RUL,125.0,112.0
0,Sensor_7,0.5443847489585507,-0.8130415916442928,decreases predicted RUL,125.0,112.0
0,Sensor_8,-0.43001410317005656,-1.4374702453613324,decreases predicted RUL,125.0,112.0
0,Sensor_9,-0.4545180120276421,1.9754966735839758,increases predicted RUL,125.0,112.0
0,Sensor_11,-0.5396276412938815,0.7955070495605483,increases predicted RUL,125.0,112.0
0,Sensor_12,0.4705516941572421,0.18472280502319904,increases predicted RUL,125.0,112.0
0,Sensor_13,-0.33948057389254105,4.297254371643064,increases predicted RUL,125.0,112.0
0,Sensor_14,-0.41435344736359975,0.5939741134643555,increases predicted RUL,125.0,112.0
0,Sensor_15,-0.4323326846475877,0.8848952293395911,increases predicted RUL,125.0,112.0
0,Sensor_17,-0.5879708224134339,-0.3410131454467731,decreases predicted RUL,125.0,112.0
0,Sensor_20,0.5550019591814495,0.9807790756225501,increases predicted RUL,125.0,112.0
0,Sensor_21,0.5119960428273295,1.77628946304322,increases predicted RUL,125.0,112.0
1,Sensor_2,-0.14781758568104986,1.6115549087524386,increases predicted RUL,109.40583801269531,98.0
1,Sensor_3,-0.21446028982496174,0.13148097991943075,increases predicted RUL,109.40583801269531,98.0
1,Sensor_4,-0.2925103284862461,1.6660890579223562,increases predicted RUL,109.40583801269531,98.0
1,Sensor_7,0.23912551549646557,2.351015377044682,increases predicted RUL,109.40583801269531,98.0
1,Sensor_8,0.20682748262431197,-0.9346220016479521,decreases predicted RUL,109.40583801269531,98.0
1,Sensor_9,-0.7653481737253991,0.2794426918029771,increases predicted RUL,109.40583801269531,98.0
1,Sensor_11,-0.22743961212475491,-0.8662668228149357,decreases predicted RUL,109.40583801269531,98.0
1,Sensor_12,0.16894017533207947,-0.24658145904540874,decreases predicted RUL,109.40583801269531,98.0
1,Sensor_13,0.13864082020334695,4.443423080444333,increases predicted RUL,109.40583801269531,98.0
1,Sensor_14,-0.7804199594506508,0.3617784500122099,increases predicted RUL,109.40583801269531,98.0
1,Sensor_15,-0.15989360144130532,-0.3952716827392564,decreases predicted RUL,109.40583801269531,98.0
1,Sensor_17,-0.30117719131084253,-0.8152105331420856,decreases predicted RUL,109.40583801269531,98.0
1,Sensor_20,0.21497351127564923,-1.6471689224243136,decreases predicted RUL,109.40583801269531,98.0
1,Sensor_21,0.21920674086416184,0.5528085708618136,increases predicted RUL,109.40583801269531,98.0
2,Sensor_2,0.23451360588215306,-9.203003597259524,decreases predicted RUL,60.77632141113281,69.0
2,Sensor_3,0.200926636076112,-0.3302519798278851,decreases predicted RUL,60.77632141113281,69.0
2,Sensor_4,0.28138994602969747,-7.767880630493167,decreases predicted RUL,60.77632141113281,69.0
2,Sensor_7,-0.3415672609923623,-1.0028882026672363,decreases predicted RUL,60.77632141113281,69.0
2,Sensor_8,0.6191326042383983,1.3364810943603587,increases predicted RUL,60.77632141113281,69.0
2,Sensor_9,-0.6227753952967269,0.2426704406738196,increases predicted RUL,60.77632141113281,69.0
2,Sensor_11,0.31388184980914835,-0.9535772323608427,decreases predicted RUL,60.77632141113281,69.0
2,Sensor_12,-0.40902439793577516,7.723586463928221,increases predicted RUL,60.77632141113281,69.0
2,Sensor_13,0.6180388675271515,1.0773366928100643,increases predicted RUL,60.77632141113281,69.0
2,Sensor_14,-0.7399839594286363,1.143934726715088,increases predicted RUL,60.77632141113281,69.0
2,Sensor_15,0.3293615513959975,-0.34747810363769105,decreases predicted RUL,60.77632141113281,69.0
2,Sensor_17,0.1739147004877457,1.8891114234924302,increases predicted RUL,60.77632141113281,69.0
2,Sensor_20,-0.05350531764668891,-0.2393973350524874,decreases predicted RUL,60.77632141113281,69.0
2,Sensor_21,-0.30479347698549497,-2.7315446853637653,decreases predicted RUL,60.77632141113281,69.0
3,Sensor_2,-0.019465491162847185,1.1730836868286119,increases predicted RUL,86.52291107177734,82.0
3,Sensor_3,0.022130381921471067,-0.2376740455627484,decreases predicted RUL,86.52291107177734,82.0
3,Sensor_4,0.03377836133535326,0.5840126991272001,increases predicted RUL,86.52291107177734,82.0
3,Sensor_7,-0.024756450121459647,1.181868553161621,increases predicted RUL,86.52291107177734,82.0
3,Sensor_8,0.25285163313257675,-0.016427230834956674,decreases predicted RUL,86.52291107177734,82.0
3,Sensor_9,-0.5815116605088196,-0.6220314025878935,decreases predicted RUL,86.52291107177734,82.0
3,Sensor_11,0.10795175623619935,-1.180293083190918,decreases predicted RUL,86.52291107177734,82.0
3,Sensor_12,0.01617546393457755,1.394292068481441,increases predicted RUL,86.52291107177734,82.0
3,Sensor_13,0.22314013979032918,1.6991601943969812,increases predicted RUL,86.52291107177734,82.0
3,Sensor_14,-0.5255961742800881,1.3622514724731474,increases predicted RUL,86.52291107177734,82.0
3,Sensor_15,0.016329351597405527,-0.9237240791320787,decreases predicted RUL,86.52291107177734,82.0
3,Sensor_17,-0.05853449886052917,1.6063838005065918,increases predicted RUL,86.52291107177734,82.0
3,Sensor_20,0.06378891636951756,0.4343585968017507,increases predicted RUL,86.52291107177734,82.0
3,Sensor_21,-0.033823741480327796,-2.263875961303711,decreases predicted RUL,86.52291107177734,82.0
4,Sensor_2,-0.11385772250553124,1.4282659530639634,increases predicted RUL,101.9626235961914,91.0
4,Sensor_3,-0.11778151993389345,0.14433135986328693,increases predicted RUL,101.9626235961914,91.0
4,Sensor_4,-0.026707929029719853,2.839372444152829,increases predicted RUL,101.9626235961914,91.0
4,Sensor_7,0.03444785262333072,0.8036788940429673,increases predicted RUL,101.9626235961914,91.0
4,Sensor_8,0.28947973024274876,0.45284709930420064,increases predicted RUL,101.9626235961914,91.0
4,Sensor_9,-0.561495669753498,-0.5210613250732408,decreases predicted RUL,101.9626235961914,91.0
4,Sensor_11,-0.01635513661147493,-1.5846622467041058,decreases predicted RUL,101.9626235961914,91.0
4,Sensor_12,-0.008230140381959471,1.5023353576660128,increases predicted RUL,101.9626235961914,91.0
4,Sensor_13,0.2704167480402565,2.4571192741394015,increases predicted RUL,101.9626235961914,91.0
4,Sensor_14,-0.6564222102290099,0.6216283798217788,increases predicted RUL,101.9626235961914,91.0
4,Sensor_15,-0.035718250958545916,-1.7965711593627915,decreases predicted RUL,101.9626235961914,91.0
4,Sensor_17,-0.07144834326876667,0.6977565765380831,increases predicted RUL,101.9626235961914,91.0
4,Sensor_20,0.05161687321689411,0.4475182533264217,increases predicted RUL,101.9626235961914,91.0
4,Sensor_21,-0.09438823029704245,-1.773097419738768,decreases predicted RUL,101.9626235961914,91.0
5,Sensor_2,-0.13825571450515112,1.482121658325191,increases predicted RUL,104.64468383789062,93.0
5,Sensor_3,-0.16671317131721608,-0.058985519409176845,decreases predicted RUL,104.64468383789062,93.0
5,Sensor_4,-0.0827721871454732,2.18251819610596,increases predicted RUL,104.64468383789062,93.0
5,Sensor_7,0.0190818503842242,0.8702379226684656,increases predicted RUL,104.64468383789062,93.0
5,Sensor_8,0.1373322499369659,0.05185813903808878,increases predicted RUL,104.64468383789062,93.0
5,Sensor_9,-0.5504189472676303,-0.40272274017334553,decreases predicted RUL,104.64468383789062,93.0
5,Sensor_11,-0.19308059873225958,-0.679645347595212,decreases predicted RUL,104.64468383789062,93.0
5,Sensor_12,0.04546218911441766,0.3118150711059542,increases predicted RUL,104.64468383789062,93.0
5,Sensor_13,0.13136790024567552,3.924626541137698,increases predicted RUL,104.64468383789062,93.0
5,Sensor_14,-0.5361331326170549,0.8646642684936481,increases predicted RUL,104.64468383789062,93.0
5,Sensor_15,-0.1647707081157178,-0.5501621246337862,decreases predicted RUL,104.64468383789062,93.0
5,Sensor_17,-0.1618452541264292,-0.7723306655883775,decreases predicted RUL,104.64468383789062,93.0
5,Sensor_20,0.12686223088766654,0.29454002380370525,increases predicted RUL,104.64468383789062,93.0
5,Sensor_21,0.20887763896395803,0.5210096359252887,increases predicted RUL,104.64468383789062,93.0
6,Sensor_2,-0.8581964620341995,-2.5249734878540124,decreases predicted RUL,100.228515625,91.0
6,Sensor_3,-0.6571061814808188,0.4174785614013743,increases predicted RUL,100.228515625,91.0
6,Sensor_4,-0.7586987045315097,2.5130504608154354,increases predicted RUL,100.228515625,91.0
6,Sensor_7,0.6775602404540053,-1.5805963516235337,decreases predicted RUL,100.228515625,91.0
6,Sensor_8,-0.896707106954978,-0.6021104812622156,decreases predicted RUL,100.228515625,91.0
6,Sensor_9,-0.02999413061973885,3.4153097152709933,increases predicted RUL,100.228515625,91.0
6,Sensor_11,-0.8221034300096324,7.065532493591306,increases predicted RUL,100.228515625,91.0
6,Sensor_12,0.8405425430709472,-5.262743759155271,decreases predicted RUL,100.228515625,91.0
6,Sensor_13,-0.9726799512463802,-4.367536544799805,decreases predicted RUL,100.228515625,91.0
6,Sensor_14,0.05298244150812546,-2.915980720520011,decreases predicted RUL,100.228515625,91.0
6,Sensor_15,-0.8334437495594272,2.8256259918212905,increases predicted RUL,100.228515625,91.0
6,Sensor_17,-0.639657497231216,-0.07869262695312074,decreases predicted RUL,100.228515625,91.0
6,Sensor_20,0.6812434690208606,1.9959913253784123,increases predicted RUL,100.228515625,91.0
6,Sensor_21,0.6372633124552237,2.0090787887573214,increases predicted RUL,100.228515625,91.0
7,Sensor_2,-0.1486548586360945,1.3935337066650462,increases predicted RUL,90.95381164550781,95.0
7,Sensor_3,-0.3130840511551791,0.17278480529785156,increases predicted RUL,90.95381164550781,95.0
7,Sensor_4,0.003001905730786851,1.8346435546875028,increases predicted RUL,90.95381164550781,95.0
7,Sensor_7,-0.06949863311178289,0.892843246459968,increases predicted RUL,90.95381164550781,95.0
7,Sensor_8,0.5036132210436844,1.0626751899719267,increases predicted RUL,90.95381164550781,95.0
7,Sensor_9,-0.7099219396622256,-0.5108104705810561,decreases predicted RUL,90.95381164550781,95.0
7,Sensor_11,-0.08375043996262,-0.38956909179687216,decreases predicted RUL,90.95381164550781,95.0
7,Sensor_12,-0.12510586772005922,0.8519945144653249,increases predicted RUL,90.95381164550781,95.0
7,Sensor_13,0.20367330109873621,2.3996573448181096,increases predicted RUL,90.95381164550781,95.0
7,Sensor_14,-0.7076496514572881,0.5249385833740305,increases predicted RUL,90.95381164550781,95.0
7,Sensor_15,-0.0012153832805754084,-2.6567254066467356,decreases predicted RUL,90.95381164550781,95.0
7,Sensor_17,-0.16184525412642917,-1.0020108222961426,decreases predicted RUL,90.95381164550781,95.0
7,Sensor_20,0.01288764500399357,0.06430644989013246,increases predicted RUL,90.95381164550781,95.0
7,Sensor_21,0.0011144672910027341,-1.9828947067260785,decreases predicted RUL,90.95381164550781,95.0
8,Sensor_2,-0.06506173850634143,1.3716028213500948,increases predicted RUL,112.20613861083984,111.0
8,Sensor_3,-0.15516530159074807,0.06774997711182351,increases predicted RUL,112.20613861083984,111.0
8,Sensor_4,-0.007686523977367826,1.7709272384643526,increases predicted RUL,112.20613861083984,111.0
8,Sensor_7,-0.06949863311177261,1.1996330261230455,increases predicted RUL,112.20613861083984,111.0
8,Sensor_8,0.20495335229541908,-1.1311393737792983,decreases predicted RUL,112.20613861083984,111.0
8,Sensor_9,-0.6371850972386784,-0.1334524154663086,decreases predicted RUL,112.20613861083984,111.0
