Feature,MeanAbsSHAP
Sensor_15,10.87772942124022
Sensor_9,5.729757789511459
Sensor_11,5.338714491902647
Sensor_15_roll_mean5,3.753744746648881
Sensor_2,3.5769969777617736
Sensor_3,3.276006546844801
Sensor_7,3.0616523569460696
Sensor_4,2.9546411383084705
Sensor_4_roll_mean5,2.9325285782434345
Sensor_11_roll_mean5,2.8911829313548516
Sensor_12,2.7184503188867892
Sensor_17,2.332165360118543
Sensor_13_roll_std5,2.1012245489670023
Sensor_6,1.8444409862955853
Sensor_13,1.6144556691855723
Sensor_8_roll_std5,1.5868708152704745
Sensor_12_roll_mean5,1.4598419391718107
Regime_OneHot_1,1.3421007001878662
Sensor_21,1.311911938078474
Regime_ID,1.2867944305378205
Sensor_14,1.2415290048621181
Sensor_19,1.2388117133626293
Regime_OneHot_3,1.1963945370598321
Sensor_8_roll_mean5,1.1431207486294541
Sensor_4_roll_std5,1.0939102498581088
Sensor_10,1.091867143439781
Regime_OneHot_5,1.008626783083091
Sensor_5,0.9944882350015632
Sensor_20,0.9860296035252395
Sensor_12_roll_std5,0.9502987477172792
Regime_OneHot_0,0.9297798286621765
Sensor_4_diff1,0.9230458632267983
Sensor_13_diff1,0.901137185210755
Sensor_8,0.8738301395917734
Sensor_8_diff1,0.8736215850944882
Regime_OneHot_4,0.8675767794381681
Sensor_13_roll_mean5,0.8514086124051119
Sensor_11_roll_std5,0.8257669484570147
Sensor_15_diff1,0.7707360347305712
Sensor_1,0.7559055073103264
Sensor_12_diff1,0.7414544141018655
Regime_OneHot_2,0.7360994621510144
Sensor_15_roll_std5,0.6891982346159784
Sensor_11_diff1,0.6819071228570829
Sensor_18,0.0
