Sample,Feature,Feature_Value,SHAP_Value,Influence,Prediction,Actual_RUL
0,Sensor_2,0.30241690079481703,3.010681922081858,increases predicted RUL,52.404659271240234,44.0
0,Sensor_3,0.2725919337872132,-0.14880584878847003,decreases predicted RUL,52.404659271240234,44.0
0,Sensor_4,0.14106111310398411,1.6561518461676314,increases predicted RUL,52.404659271240234,44.0
0,Sensor_7,1.2826623296528503,-3.0774100674316287,decreases predicted RUL,52.404659271240234,44.0
0,Sensor_8,0.5092345700660662,-7.8402002670336515,decreases predicted RUL,52.404659271240234,44.0
0,Sensor_9,0.735257001349051,0.16627320647239685,increases predicted RUL,52.404659271240234,44.0
0,Sensor_11,0.26938568873518093,-0.36916227964684367,decreases predicted RUL,52.404659271240234,44.0
0,Sensor_12,1.3052924460053483,-7.183939974755049,decreases predicted RUL,52.404659271240234,44.0
0,Sensor_13,0.513215449112501,-11.812758805695921,decreases predicted RUL,52.404659271240234,44.0
0,Sensor_14,0.729722609290448,-8.990532036346849,decreases predicted RUL,52.404659271240234,44.0
0,Sensor_15,-1.1122692131684386,7.709408999886364,increases predicted RUL,52.404659271240234,44.0
0,Sensor_17,0.22071533815604422,-0.28581876982934773,decreases predicted RUL,52.404659271240234,44.0
0,Sensor_20,1.0975789649006225,-0.05772554990835488,decreases predicted RUL,52.404659271240234,44.0
0,Sensor_21,0.9679504765700302,0.9005052829161286,increases predicted RUL,52.404659271240234,44.0
1,Sensor_2,0.5363889734664063,-4.054472255520523,decreases predicted RUL,58.412376403808594,51.0
1,Sensor_3,0.45963773660168916,0.8261619540862739,increases predicted RUL,58.412376403808594,51.0
1,Sensor_4,0.8309490698435799,-4.275054307814571,decreases predicted RUL,58.412376403808594,51.0
1,Sensor_7,-0.5741292801530765,-4.343148389365524,decreases predicted RUL,58.412376403808594,51.0
1,Sensor_8,0.5584574705874357,1.2522746361792088,increases predicted RUL,58.412376403808594,51.0
1,Sensor_9,-0.9360498998164328,3.2125861837994307,increases predicted RUL,58.412376403808594,51.0
1,Sensor_11,0.7675099361048173,-5.392828157171607,decreases predicted RUL,58.412376403808594,51.0
1,Sensor_12,-0.606217824251692,-1.6280266055837274,decreases predicted RUL,58.412376403808594,51.0
1,Sensor_13,0.561079818285459,-0.1857309751212597,decreases predicted RUL,58.412376403808594,51.0
1,Sensor_14,-1.1600945920764818,5.237537621986121,increases predicted RUL,58.412376403808594,51.0
1,Sensor_15,0.9342256035529891,-2.578489854000509,decreases predicted RUL,58.412376403808594,51.0
1,Sensor_17,0.5174167151365089,-1.5444443476881133,decreases predicted RUL,58.412376403808594,51.0
1,Sensor_20,-0.8274554162490358,-1.1556382024991763,decreases predicted RUL,58.412376403808594,51.0
1,Sensor_21,-0.9171734011466326,-2.025373734999448,decreases predicted RUL,58.412376403808594,51.0
2,Sensor_2,0.4144839630250965,0.24335827365575824,increases predicted RUL,32.896095275878906,27.0
2,Sensor_3,0.9081053030038511,-0.01267491748149041,decreases predicted RUL,32.896095275878906,27.0
2,Sensor_4,0.7347414995129022,-3.5228274395340122,decreases predicted RUL,32.896095275878906,27.0
2,Sensor_7,2.246098016316873,-1.1176960663869977,decreases predicted RUL,32.896095275878906,27.0
2,Sensor_8,1.31508377002832,-10.630854053422809,decreases predicted RUL,32.896095275878906,27.0
2,Sensor_9,1.5038021925914384,-1.5116856917738914,decreases predicted RUL,32.896095275878906,27.0
2,Sensor_11,0.8762775723975545,-2.5057758426410146,decreases predicted RUL,32.896095275878906,27.0
2,Sensor_12,2.2998692097880364,-4.896580209955573,decreases predicted RUL,32.896095275878906,27.0
2,Sensor_13,1.301569764902053,-18.50419961940497,decreases predicted RUL,32.896095275878906,27.0
2,Sensor_14,1.5016124935329478,-8.48120946623385,decreases predicted RUL,32.896095275878906,27.0
2,Sensor_15,-1.619979485190838,6.191959646996111,increases predicted RUL,32.896095275878906,27.0
2,Sensor_17,0.8399182118544053,-1.7724960350315087,decreases predicted RUL,32.896095275878906,27.0
2,Sensor_20,1.6571495575863262,2.393557073548436,increases predicted RUL,32.896095275878906,27.0
2,Sensor_21,1.740713878701068,-2.2716456577181816,decreases predicted RUL,32.896095275878906,27.0
3,Sensor_2,0.4093511204801792,4.40350928530097,increases predicted RUL,119.83096313476562,120.0
3,Sensor_3,0.25697727358049816,1.1276999797555618,increases predicted RUL,119.83096313476562,120.0
3,Sensor_4,0.4931403871719776,1.939098582835868,increases predicted RUL,119.83096313476562,120.0
3,Sensor_7,-0.500685115317853,0.424753422208596,increases predicted RUL,119.83096313476562,120.0
3,Sensor_8,0.25749459311489653,9.985381389968097,increases predicted RUL,119.83096313476562,120.0
3,Sensor_9,-0.6622331895428694,2.477777527179569,increases predicted RUL,119.83096313476562,120.0
3,Sensor_11,0.4136210325146814,5.2904719351790845,increases predicted RUL,119.83096313476562,120.0
3,Sensor_12,-0.5076472827469624,1.1115414561936632,increases predicted RUL,119.83096313476562,120.0
3,Sensor_13,0.29782578783450847,12.422312326845713,increases predicted RUL,119.83096313476562,120.0
3,Sensor_14,-0.7868880893001783,2.9213991477154195,increases predicted RUL,119.83096313476562,120.0
3,Sensor_15,0.754322825232649,-3.192420495848637,decreases predicted RUL,119.83096313476562,120.0
3,Sensor_17,0.49161659539907726,3.5816623675636947,increases predicted RUL,119.83096313476562,120.0
3,Sensor_20,-0.6136659871498449,-3.5865132696926594,decreases predicted RUL,119.83096313476562,120.0
3,Sensor_21,-0.6052707207290663,-0.38272272422909737,decreases predicted RUL,119.83096313476562,120.0
4,Sensor_2,-0.7985778250857333,-1.31114805303514,decreases predicted RUL,118.34674835205078,101.0
4,Sensor_3,-1.0789509912088053,1.1160819956567138,increases predicted RUL,118.34674835205078,101.0
4,Sensor_4,-0.9628880530019428,2.9043243802152574,increases predicted RUL,118.34674835205078,101.0
4,Sensor_7,-0.8259582975900358,7.29251294885762,increases predicted RUL,118.34674835205078,101.0
4,Sensor_8,-1.251538900008839,0.9263015557080507,increases predicted RUL,118.34674835205078,101.0
4,Sensor_9,-1.065465114049143,-1.5661385306157172,decreases predicted RUL,118.34674835205078,101.0
4,Sensor_11,-1.172179577782328,2.3307508449070156,increases predicted RUL,118.34674835205078,101.0
4,Sensor_12,-0.8361146564380985,5.261176198720932,increases predicted RUL,118.34674835205078,101.0
4,Sensor_13,-1.308446130587476,4.859905708581209,increases predicted RUL,118.34674835205078,101.0
4,Sensor_14,-0.9497144874214746,-1.9286260157823563,decreases predicted RUL,118.34674835205078,101.0
4,Sensor_15,0.06678650885380351,1.7287564128491795,increases predicted RUL,118.34674835205078,101.0
4,Sensor_17,-1.2885916664837103,1.7117158707696944,increases predicted RUL,118.34674835205078,101.0
4,Sensor_20,-0.23535164956997476,3.012212404399179,increases predicted RUL,118.34674835205078,101.0
4,Sensor_21,-0.04191906013080749,3.627398039214313,increases predicted RUL,118.34674835205078,101.0
5,Sensor_2,0.2763249511915819,6.298613589722663,increases predicted RUL,108.40137481689453,99.0
5,Sensor_3,0.15090982486131282,-0.3167168755317107,decreases predicted RUL,108.40137481689453,99.0
5,Sensor_4,0.17933008236530468,0.20006467727944255,increases predicted RUL,108.40137481689453,99.0
5,Sensor_7,-0.45752056230066346,-0.9532841390755493,decreases predicted RUL,108.40137481689453,99.0
5,Sensor_8,0.1829570580398259,6.4729907310102135,increases predicted RUL,108.40137481689453,99.0
5,Sensor_9,-0.5189834889086774,1.3571989453630522,increases predicted RUL,108.40137481689453,99.0
5,Sensor_11,0.2410115227457724,3.6771314358338714,increases predicted RUL,108.40137481689453,99.0
5,Sensor_12,-0.4755739450111934,0.7103578858077526,increases predicted RUL,108.40137481689453,99.0
5,Sensor_13,0.14156270024055195,10.431237569835503,increases predicted RUL,108.40137481689453,99.0
5,Sensor_14,-0.6294516335339204,0.7122505572624505,increases predicted RUL,108.40137481689453,99.0
5,Sensor_15,0.564905035390999,-3.2313046066556126,decreases predicted RUL,108.40137481689453,99.0
5,Sensor_17,0.0014143203878747611,-1.0432817188557237,decreases predicted RUL,108.40137481689453,99.0
5,Sensor_20,-0.4956170415168131,-0.21926978137344122,decreases predicted RUL,108.40137481689453,99.0
5,Sensor_21,-0.49579422744847484,-3.1522270245477557,decreases predicted RUL,108.40137481689453,99.0
6,Sensor_2,0.8310996829192727,-6.646901213331148,decreases predicted RUL,53.556209564208984,71.0
6,Sensor_3,0.8097626544714955,-2.849988305591978,decreases predicted RUL,53.556209564208984,71.0
6,Sensor_4,1.0288583881925504,-9.953372779302299,decreases predicted RUL,53.556209564208984,71.0
