Dataset,Model,RMSE,MAE,R2,NASA Score
FD001,xgboost,14.014,10.857,0.886,2.831
FD001,lstm,16.166,11.909,0.849,4.444
FD001,cnn_lstm,18.399,13.508,0.804,5.41
FD002,xgboost,25.635,16.938,0.773,23.987
FD002,lstm,29.225,19.457,0.705,39.888
FD002,cnn_lstm,27.173,19.308,0.745,31.014
FD003,xgboost,15.403,11.398,0.862,4.761
FD003,lstm,14.392,10.565,0.879,3.818
FD003,cnn_lstm,14.9,11.022,0.87,4.853
FD004,xgboost,26.287,18.32,0.768,19.426
FD004,lstm,27.626,20.327,0.743,22.108
FD004,cnn_lstm,29.806,21.481,0.701,51.984
