Sensor,mean,std,min,max
Sensor_1,518.67,0.0,518.67,518.67
Sensor_2,642.681,0.5,641.21,644.53
Sensor_3,1590.523,6.131,1571.04,1616.91
Sensor_4,1408.934,9.001,1382.25,1441.49
Sensor_5,14.62,0.0,14.62,14.62
Sensor_6,21.61,0.001,21.6,21.61
Sensor_7,553.368,0.885,549.85,556.06
Sensor_8,2388.097,0.071,2387.9,2388.56
Sensor_9,9065.243,22.083,9021.73,9244.59
Sensor_10,1.3,0.0,1.3,1.3
Sensor_11,47.541,0.267,46.85,48.53
Sensor_12,521.413,0.738,518.69,523.38
Sensor_13,2388.096,0.072,2387.88,2388.56
Sensor_14,8143.753,19.076,8099.94,8293.72
Sensor_15,8.442,0.038,8.325,8.585
Sensor_16,0.03,0.0,0.03,0.03
Sensor_17,393.211,1.549,388.0,400.0
Sensor_18,2388.0,0.0,2388.0,2388.0
Sensor_19,100.0,0.0,100.0,100.0
Sensor_20,38.816,0.181,38.14,39.43
Sensor_21,23.29,0.108,22.894,23.618
